統一編號,公司名稱,公司地址,核准日期
90294152,承泫科技有限公司,臺南市安平區怡平里慶平路191號2樓,112/05/22
90294765,統鑫有限公司,臺南市學甲區新榮里華宗路230巷7號1樓,112/05/02
90417491,全球國際顧問有限公司,臺南市安平區怡平里建平十七街159號5樓之2,112/05/05
90470684,嚕咪小森活寵物有限公司,臺南市新營區太南里太子宮238之1號,112/05/01
90489635,涵斌國際餐飲企業有限公司,臺南市南區明德里水交社路46號1樓,112/05/11
90678684,二丞開發有限公司,臺南市安定區港口里港口416之3號1樓,112/05/03
90867926,喜樂樂健康企業有限公司,臺南市中西區民生路1段167號3樓,112/05/22
91009938,白小姐有限公司,臺南市中西區金華路4段51號1樓,112/05/15
91010288,鷹士科技股份有限公司,臺南市安定區中沙里沙崙40號,112/05/18
91014221,寶緹貿易有限公司,臺南市東區裕聖里裕信五街2號1樓,112/05/01
91079357,泓麒科技有限公司,臺南市安定區蘇厝里蘇厝507號1樓,112/05/08
97392642,長龍科技股份有限公司,臺南市新化區拔里拔林223之8號1樓,112/05/19
合計:86筆,,,
